CUST_NO,XCOORD,YCOORD,DEMAND,READYTIME,DUETIME,SERVICETIME,XCOORD_END,YCOORD_END,order_id,end_poi_id
97,13.424745,52.5375,49,263,480,49,13.4251111,52.5121686,order_e18a80d6-8aed-4172-95dc-f25e033459ae,wash_11
98,13.316347,52.52441999999999,53,263,480,53,13.306433,52.57751,order_87e48f13-1fa8-4d27-86ce-7d69da7d2f3e,wash_20
99,13.29935,52.49241899999999,20,276,480,20,13.3091456,52.4924086,order_44c1fdab-7dc8-4755-b166-b9e183441053,refuel_183
100,13.470933,52.54716,54,288,480,54,13.4251111,52.5121686,order_f919d605-aa74-4a87-a3f7-011175639ea2,wash_11
101,13.470232,52.535126,51,288,480,51,13.4251111,52.5121686,order_d1fe9ca1-4594-4d80-b6e5-553078218949,wash_11
102,13.32187642,52.50618899,21,305,380,21,13.3193638,52.4994455,order_3ff1d003-1355-47d0-bf88-c15d79997530,refuel_235
103,13.378708,52.528744,16,318,480,16,13.378528,52.528994,order_2589217c-e850-49af-9dec-3788be142ca7,stationary_charge_1538
104,13.328156,52.494971,19,335,365,19,13.3314145066128,52.4928202230303,order_2bcce08d-5e8f-42ef-883b-e9ca096f0f49,refuel_162
105,13.41384952,52.52761957,17,366,425,17,13.4179988,52.5286962,order_0da322b2-cdb9-4c42-9b3b-2d7ca56467a0,refuel_263
106,13.29746368,52.47364818,19,395,480,19,13.2791266953546,52.4759621106395,order_08084bed-5af6-4e6f-86e6-d69bb83a0370,refuel_50
107,13.294453,52.512928,20,411,425,20,13.3015841656836,52.5077365745814,order_e19b301f-793f-4649-8e5a-94a55ecf6d10,refuel_171
